local	gen	trat	bl	df	dm	aca	ap	avag	rend	p100
SIDROL	BRS 255 RR	12	3	.	.	.	.	.	3341.56	.
SIDROL	BRS 292 RR	13	1	42	109	1	75	10	3141.69	13.2
SIDROL	BRS 292 RR	13	2	41	.	1	.	.	3787.89	.
SIDROL	BRS 292 RR	13	3	.	.	.	.	.	2837.24	.
SIDROL	BRS Favorita RR	14	1	46	115	2	100	20	4059.77	16
SIDROL	BRS Favorita RR	14	2	.	.	1	.	.	4061.64	.
SIDROL	BRS Favorita RR	14	3	.	.	.	.	.	4493.57	.
SIDROL	M-SOY 7908 RR	15	1	44	113	3	90	20	4317.14	16.2
SIDROL	M-SOY 7908 RR	15	2	44	.	1	.	.	4348.40	.
SIDROL	M-SOY 7908 RR	15	3	.	.	.	.	.	4247.07	.
SIDROL	NK 7059 RR	16	1	32	104	1	95	10	3546.73	15.7
SIDROL	NK 7059 RR	16	2	31	104	1	.	.	3041.38	.
SIDROL	NK 7059 RR	16	3	.	.	.	.	.	4019.00	.
SIDROL	BMX MAGNA RR	17	1	29	102	1	85	10	4223.93	13.5
SIDROL	BMX MAGNA RR	17	2	29	101	1	.	.	3220.16	.
SIDROL	BMX MAGNA RR	17	3	.	.	.	.	.	4259.41	.
SIDROL	BMX POTÊNCIA RR	18	1	29	107	1	95	10	4318.64	13.7
SIDROL	BMX POTÊNCIA RR	18	2	30	.	1	.	.	4067.64	.
SIDROL	BMX POTÊNCIA RR	18	3	.	.	.	.	.	4685.32	.
SIDROL	BRS 294 RR	19	1	40	98	1	65	12	3554.33	15.3
SIDROL	BRS 294 RR	19	2	38	99	1	.	.	3851.55	.
SIDROL	BRS 294 RR	19	3	.	.	.	.	.	3727.65	.
SIDROL	BR 02-04844	20	1	38	103	1	110	10	4781.52	13
SIDROL	BR 02-04844	20	2	38	.	2	.	.	4014.71	.
SIDROL	BR 02-04844	20	3	.	.	.	.	.	4107.11	.
SIDROL	BR 02-22425	21	1	42	109	1	65	10	3804.00	15.6
SIDROL	BR 02-22425	21	2	41	.	1	.	.	2787.99	.
SIDROL	BR 02-22425	21	3	.	.	.	.	.	2985.61	.
SIDROL	BR 01-25656	22	1	36	98	2	85	10	3927.12	14.5
SIDROL	BR 01-25656	22	2	37	95	1	.	.	2749.29	.
SIDROL	BR 01-25656	22	3	.	.	.	.	.	3163.45	.
SIDROL	BR 02-72914	23	1	37	105	1	70	10	3869.89	15.3
SIDROL	BR 02-72914	23	2	38	.	1	.	.	3865.52	.
SIDROL	BR 02-72914	23	3	.	.	.	.	.	4197.06	.
SIDROL	BR 02-68661	24	1	37	104	1	80	10	3440.10	16.9
SIDROL	BR 02-68661	24	2	42	103	1	.	.	4357.17	.
SIDROL	BR 02-68661	24	3	.	.	.	.	.	3179.05	.
SIDROL	BR 02-78838	25	1	42	103	1	65	12	4242.27	12.7
SIDROL	BR 02-78838	25	2	43	.	1	.	.	3470.34	.
SIDROL	BR 02-78838	25	3	.	.	.	.	.	4026.80	.

