preco	area	quartos	banheiros	vagas	suites	bairro
240000	58.9	3	NA	1	NA	portao
449000	111.62	3	NA	NA	1	portao
635000	126.78	3	NA	NA	1	portao
340000	66	2	2	1	1	portao
238000	68.04	3	NA	NA	NA	portao
239000	66	2	NA	NA	1	portao
458000	79	3	2	NA	1	portao
335000	84	3	NA	NA	1	portao
168000	45	2	NA	NA	NA	portao
315000	82	3	2	1	1	portao
172400	33	1	1	NA	NA	portao
530000	114	3	3	1	1	portao
320000	84	2	2	1	1	portao
275000	75	3	2	1	1	portao
290000	62	2	1	1	NA	portao
435000	100	3	2	1	1	portao
440000	85	3	2	2	1	portao
590000	101	3	2	2	1	portao
220000	50	3	1	1	NA	portao
494000	80.44	3	2	1	1	portao
892571	129	3	NA	2	3	portao
320000	76	3	2	1	1	portao
230000	54	3	1	1	NA	portao
285000	71	3	2	2	1	portao
175000	47.5	2	1	1	NA	portao
190000	54.71	3	1	1	NA	portao
594720	80.44	3	NA	1	1	portao
189700	33.15	1	1	NA	NA	portao
197700	33.15	1	1	NA	NA	portao
432000	79.05	3	NA	1	1	portao
299000	114.95	2	1	2	NA	portao
235000	58	3	1	1	NA	portao
351345	65.95	2	NA	1	1	portao
202900	33.52	1	1	NA	NA	portao
220000	57.85	3	1	1	NA	portao
436305	79.05	3	NA	1	1	portao
424800	79.05	3	NA	1	1	portao
425000	100	3	3	1	1	portao
404900	79.05	3	NA	1	1	portao
450000	79.05	3	NA	2	1	portao
446000	79.95	3	2	1	1	portao
230000	59	3	1	1	NA	portao
449000	87.62	3	2	2	1	portao
872300	126	3	4	NA	3	portao
359310	66.63	2	NA	1	1	portao
361080	66.89	2	NA	1	1	portao
559900	105	3	NA	NA	1	portao
354000	66.63	2	NA	1	1	portao
364620	66.63	2	NA	1	1	portao
205000	34	1	1	NA	NA	portao
280000	84	3	2	1	NA	portao
640000	113	3	3	NA	1	portao
340000	75	3	3	1	1	portao
370000	87	3	2	1	1	portao
269900	53	2	1	1	1	portao
151900	30	1	1	NA	NA	portao
