agregado	familia	cinza	bloco	rept	data	altura
<2	F29	3	2	1	2012/03/09	14.0
<2	F29	3	2	2	2012/03/09	9.0
<2	F29	3	3	1	2012/03/09	7.5
<2	F29	3	3	2	2012/03/09	9.5
<2	F29	6	1	1	2012/03/09	14.9
<2	F29	6	1	2	2012/03/09	12.5
<2	F29	6	2	1	2012/03/09	13.0
<2	F29	6	2	2	2012/03/09	10.2
<2	F29	6	3	1	2012/03/09	12.5
<2	F29	6	3	2	2012/03/09	10.0
<2	F29	12	1	1	2012/03/09	7.5
<2	F29	12	1	2	2012/03/09	8.0
<2	F29	12	2	1	2012/03/09	14.5
<2	F29	12	2	2	2012/03/09	8.0
<2	F29	12	3	1	2012/03/09	13.0
<2	F29	12	3	2	2012/03/09	11.6
<2	F29	24	1	1	2012/03/09	18.0
<2	F29	24	1	2	2012/03/09	13.0
<2	F29	24	2	1	2012/03/09	20.0
<2	F29	24	2	2	2012/03/09	14.0
<2	F29	24	3	1	2012/03/09	13.3
<2	F29	24	3	2	2012/03/09	12.5
<2	F29	48	1	1	2012/03/09	7.8
<2	F29	48	1	2	2012/03/09	6.5
<2	F29	48	2	1	2012/03/09	15.0
<2	F29	48	2	2	2012/03/09	8.0
<2	F29	48	3	1	2012/03/09	7.5
<2	F29	48	3	2	2012/03/09	7.5
<2	F48	0	1	1	2012/03/09	17.0
<2	F48	0	1	2	2012/03/09	17.2
<2	F48	0	2	1	2012/03/09	23.5
<2	F48	0	2	2	2012/03/09	22.0
<2	F48	0	3	1	2012/03/09	13.4
<2	F48	0	3	2	2012/03/09	8.0
<2	F48	1.5	1	1	2012/03/09	7.5
<2	F48	1.5	1	2	2012/03/09	13.5
<2	F48	1.5	2	1	2012/03/09	6.0
<2	F48	1.5	2	2	2012/03/09	9.0
<2	F48	1.5	3	1	2012/03/09	6.0
<2	F48	1.5	3	2	2012/03/09	7.5
<2	F48	3	1	1	2012/03/09	15.0
<2	F48	3	1	2	2012/03/09	15.3
<2	F48	3	2	1	2012/03/09	14.5
<2	F48	3	2	2	2012/03/09	9.0
<2	F48	3	3	1	2012/03/09	13.5
<2	F48	3	3	2	2012/03/09	16.5
<2	F48	6	1	1	2012/03/09	5.5
<2	F48	6	1	2	2012/03/09	4.5
<2	F48	6	2	1	2012/03/09	9.0
<2	F48	6	2	2	2012/03/09	9.2
<2	F48	6	3	1	2012/03/09	8.4
<2	F48	6	3	2	2012/03/09	7.8
<2	F48	12	1	1	2012/03/09	10.5
<2	F48	12	1	2	2012/03/09	5.0
<2	F48	12	2	1	2012/03/09	10.0
<2	F48	12	2	2	2012/03/09	14.5
<2	F48	12	3	1	2012/03/09	10.0
<2	F48	12	3	2	2012/03/09	10.5
<2	F48	24	1	1	2012/03/09	9.4
<2	F48	24	1	2	2012/03/09	7.0
<2	F48	24	2	1	2012/03/09	9.5
<2	F48	24	2	2	2012/03/09	12.5
<2	F48	24	3	1	2012/03/09	10.5
<2	F48	24	3	2	2012/03/09	11.0
<2	F48	48	1	1	2012/03/09	10.5
<2	F48	48	1	2	2012/03/09	17.0
<2	F48	48	2	1	2012/03/09	15.5
<2	F48	48	2	2	2012/03/09	15.0
<2	F48	48	3	1	2012/03/09	12.5
<2	F48	48	3	2	2012/03/09	10.5
4 a 10	F29	0	1	1	2012/03/16	45.5
4 a 10	F29	0	1	2	2012/03/16	45.5
4 a 10	F29	0	2	1	2012/03/16	24.0
4 a 10	F29	0	2	2	2012/03/16	15.5
