preco	area	nquart	nbanh	nvaga	nsuit	bairro
700000	186	4	5	2	2	Agua Verde
560000	123	3	1	1	1	Agua Verde
698000	105	3	1	2	1	Agua Verde
650000	118	3	2	2	1	Agua Verde
380000	76	3	2	1	1	Agua Verde
1150000	262.9	3	5	3	1	Agua Verde
900000	183	3	2	2	NA	Agua Verde
1500000	293	4	5	4	2	Agua Verde
328000	69	2	NA	2	1	Agua Verde
843000	124	3	3	2	1	Agua Verde
1230000	153.88	3	NA	3	1	Agua Verde
630000	93.9	3	NA	2	1	Agua Verde
746323	120.81	3	2	2	NA	Agua Verde
690800	93	3	3	2	1	Agua Verde
286200	75	2	1	1	1	Agua Verde
1980000	220	3	5	3	3	Agua Verde
286200	75	2	1	1	1	Agua Verde
286200	75	2	1	1	NA	Agua Verde
891208	114.61	3	NA	2	1	Agua Verde
2898000	269	4	6	4	4	Agua Verde
290000	65	2	2	1	NA	Agua Verde
175000	30.15	1	NA	NA	NA	Agua Verde
897500	108.93	3	NA	2	1	Agua Verde
439000	85	2	2	1	1	Agua Verde
275000	68	1	1	1	NA	Agua Verde
245000	41.93	2	NA	1	NA	Agua Verde
169900	53.3	2	NA	NA	NA	Agua Verde
700000	NA	2	2	2	1	Agua Verde
695000	220	4	4	1	1	Agua Verde
476000	86	3	2	2	2	Agua Verde
245000	54	2	1	1	NA	Agua Verde
550000	114	3	1	2	1	Agua Verde
859900	183.5	4	3	3	1	Agua Verde
699900	154.68	3	4	2	3	Agua Verde
516000	116	2	1	2	1	Agua Verde
1647000	181	4	4	3	3	Agua Verde
1455500	279	4	5	4	2	Agua Verde
950000	197.56	4	NA	2	2	Agua Verde
590000	160	3	4	2	1	Agua Verde
540000	110	3	3	1	1	Agua Verde
950000	164	3	2	2	3	Agua Verde
399000	79	2	1	1	1	Agua Verde
555000	75.9	2	NA	2	1	Agua Verde
790000	272	3	NA	2	NA	Agua Verde
760000	96	3	4	2	1	Agua Verde
549900	NA	3	NA	2	1	Agua Verde
770959	96.46	3	NA	2	1	Agua Verde
1100000	172.66	4	4	2	3	Agua Verde
380000	60	2	2	1	1	Agua Verde
425000	80	2	1	1	1	Agua Verde
1040000	228	4	4	2	1	Agua Verde
690000	158	4	3	2	1	Agua Verde
500000	97	3	2	2	1	Agua Verde
350000	86	3	2	1	1	Agua Verde
605000	106	3	NA	NA	1	Agua Verde
245000	56	2	1	1	1	Agua Verde
795000	173	3	4	2	1	Agua Verde
430000	141	3	2	1	1	Agua Verde
415000	76	3	NA	1	1	Agua Verde
350000	55	2	NA	1	1	Agua Verde
340000	64	3	NA	1	1	Agua Verde
419889	98	4	3	1	1	Agua Verde
1092500	179	4	5	3	3	Agua Verde
1295000	193	4	5	3	2	Agua Verde
575000	120	3	1	1	1	Agua Verde
518000	116	2	1	2	1	Agua Verde
765000	NA	4	NA	2	1	Agua Verde
770000	135	3	1	2	1	Agua Verde
610900	93.9	3	NA	2	1	Agua Verde
250000	53	2	1	1	NA	Agua Verde
539900	105	3	2	2	1	Agua Verde
275000	60	2	NA	1	1	Agua Verde
1647000	181	4	4	3	3	Agua Verde
662400	119	3	4	2	1	Agua Verde
799900	129	3	4	2	1	Agua Verde
335000	70	3	2	1	1	Agua Verde
1048500	139.79	3	3	2	3	Agua Verde
1186000	158.14	4	3	3	2	Agua Verde
240000	54	2	2	1	NA	Agua Verde
700000	213.96	4	NA	2	NA	Agua Verde
385000	62	3	2	1	1	Agua Verde
650000	93	3	2	NA	1	Agua Verde
500000	99	2	3	1	1	Agua Verde
490000	75.48	2	NA	2	1	Agua Verde
430000	106	3	3	1	1	Agua Verde
540000	94	3	2	2	1	Agua Verde
540000	75	2	NA	1	1	Agua Verde
250000	53.59	2	NA	1	NA	Agua Verde
498000	65	2	2	1	1	Agua Verde
330000	64	2	2	1	1	Agua Verde
420000	113.66	3	NA	1	NA	Agua Verde
475000	95	3	NA	1	1	Agua Verde
218000	48	2	1	1	NA	Agua Verde
398500	80	3	2	1	1	Agua Verde
230000	55	2	1	1	NA	Agua Verde
906047	163	3	4	2	1	Agua Verde
662400	119	3	4	2	1	Agua Verde
644900	119	3	3	2	1	Agua Verde
