## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
2	2009	409	4	D	0.45	15	NA	102.2	1.6	5.3	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	411	4	D	0.55	43	81.6	90.9	2.3	5.5	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	103	1	P	0.25	77	93	236	NA	2.6	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	105	1	P	0.35	77	89	105.7	NA	3	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	107	1	P	0.45	77	95	102.2	NA	5.5	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	109	2	P	0.45	17	90	13.3	NA	1.9	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	110	1	P	0.55	43	93	156.4	2.2	2.2	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	202	2	P	0.25	174	NA	200	1.6	1.3	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	205	2	P	0.35	NA	92	91.4	2.2	2	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	212	2	P	0.55	59	89	118.2	1.8	4.7	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	303	3	P	0.25	32	90	160	2	3	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	305	3	P	0.35	46	95	122.9	NA	1.6	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	307	3	P	0.45	NA	90	140	NA	2.3	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	310	3	P	0.55	NA	93	98.2	NA	2.6	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	403	4	P	0.25	57	92	180	NA	1.7	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	404	4	P	0.35	12	89	102.9	NA	2.4	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	407	4	P	0.45	NA	95	100	NA	1.8	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
2	2009	410	4	P	0.55	NA	91	85.5	NA	3.1	506.4	218.9	80	1696.1	718.1	450	NA	0.000872	0.00077	Formoso
3	2009	102	1	C	0.55	335	NA	178.2	2.1	134.8	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	106	1	C	0.25	513	37.7	328	2.1	114.5	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
