modelo	cor	km	ano	valor	cambio	poten	trac	cat	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	NA	2012/2013	45900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	25000	2013/2013	45900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	NA	2012/2013	45990	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Vermelho	NA	2012/2013	46500	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	40000	2012/2013	46500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	29825	2012/2013	46500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	36000	2012/2013	46590	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	46799.99	MANUAL	1.6	4X2	 	novo
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	46800	MANUAL	1.6	4X2	 	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	NA	2011/2012	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	40000	2012/2013	46900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Branco	29000	2012/2013	46900	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Prata	NA	2011/2012	46990	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Cinza	30166	2011/2012	46990	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Verde	30000	2011/2012	46990	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Verde	55678	2012/2012	46990	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	43000	2011/2012	47500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	39000	2012/2013	47800	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	47900	MANUAL	1.6	4X2	 	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	NA	2012/2013	47900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Branco	19000	2012/2013	47900	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	42500	2012/2013	47900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	27000	2012/2013	47900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	55000	2012/2012	47900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
