experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008E97204	DKB390YG	COM INS	3	1	58730	13148
2008E97204	DKB390YG	COM INS	3	4	58730	13550
2008E97204	DKB390YG	COM INS	3	3	60317	14624
2008E97204	DKB390YG	SEM INS	4	1	60317	13447
2008E97204	DKB390YG	SEM INS	4	4	58730	12947
2008E97204	DKB390YG	SEM INS	4	2	58730	14200
2008E97204	DKB390YG	SEM INS	4	5	60317	13642
2008E97204	DKB390YG	SEM INS	4	3	60317	14569
2008E97205	AG7000	COM INS	1	2	48677	9573
2008E97205	AG7000	COM INS	1	1	49735	9032
2008E97205	AG7000	COM INS	1	3	49735	9269
2008E97205	AG7000	COM INS	1	5	49735	8839
2008E97205	AG7000	COM INS	1	4	48677	8438
2008E97205	AG7000	SEM INS	2	1	48677	8895
2008E97205	AG7000	SEM INS	2	4	47619	8322
2008E97205	AG7000	SEM INS	2	5	48677	6913
2008E97205	AG7000	SEM INS	2	2	51852	8836
2008E97205	AG7000	SEM INS	2	3	49735	9122
2008E97205	AG7000YG	COM INS	3	3	49735	9155
2008E97205	AG7000YG	COM INS	3	1	51852	10236
2008E97205	AG7000YG	COM INS	3	4	49735	9006
2008E97205	AG7000YG	COM INS	3	5	51852	9353
2008E97205	AG7000YG	COM INS	3	2	50794	9508
2008E97205	AG7000YG	SEM INS	4	2	51852	8810
2008E97205	AG7000YG	SEM INS	4	1	51852	9195
2008E97205	AG7000YG	SEM INS	4	5	47619	8484
2008E97205	AG7000YG	SEM INS	4	3	49735	8739
2008E97205	AG7000YG	SEM INS	4	4	50794	8548
2008E99002	AG8088	COM INS	3	3	70000	12683.56
2008E99002	AG8088	COM INS	3	1	71250	12243.08
2008E99002	AG8088	COM INS	3	4	72500	11950.74
2008E99002	AG8088	COM INS	3	5	71250	12390.8
2008E99002	AG8088	COM INS	3	2	71250	12323.31
2008E99002	AG8088	SEM INS	4	1	72500	10249.78
2008E99002	AG8088	SEM INS	4	5	70000	11416.09
2008E99002	AG8088	SEM INS	4	2	71250	11692.87
2008E99002	AG8088	SEM INS	4	3	72500	10407.2
2008E99002	AG8088	SEM INS	4	4	71250	11942.99
2008E99002	AG8088YG	COM INS	1	4	73750	12001.84
2008E99002	AG8088YG	COM INS	1	3	72500	11164.29
2008E99002	AG8088YG	COM INS	1	2	73750	13115.59
2008E99002	AG8088YG	COM INS	1	1	72500	11500.14
2008E99002	AG8088YG	COM INS	1	5	72500	13445.21
2008E99002	AG8088YG	SEM INS	2	5	72500	11539.89
2008E99002	AG8088YG	SEM INS	2	4	72500	12610.34
2008E99002	AG8088YG	SEM INS	2	3	73750	13218.64
2008E99002	AG8088YG	SEM INS	2	2	73750	12204.81
2008E99002	AG8088YG	SEM INS	2	1	72500	12259.13
2008E99003	AG8088	COM INS	3	1	70000	9562.07
2008E99003	AG8088	COM INS	3	2	70000	9971.09
2008E99003	AG8088	COM INS	3	3	71111	10030.91
2008E99003	AG8088	COM INS	3	4	72222	9977.01
2008E99003	AG8088	COM INS	3	5	71111	9955.56
2008E99003	AG8088	SEM INS	4	2	70000	9051.37
2008E99003	AG8088	SEM INS	4	4	70000	8936.4
2008E99003	AG8088	SEM INS	4	3	71111	9583.14
2008E99003	AG8088	SEM INS	4	1	70000	8714.05
2008E99003	AG8088	SEM INS	4	5	72222	9654.58
2008E99003	AG8088YG	COM INS	1	5	72222	9786.23
2008E99003	AG8088YG	COM INS	1	2	71111	9524.78
2008E99003	AG8088YG	COM INS	1	3	70000	9419.36
2008E99003	AG8088YG	COM INS	1	1	72222	9433.82
2008E99003	AG8088YG	COM INS	1	4	70000	10520.69
2008E99003	AG8088YG	SEM INS	2	5	71111	9020.43
2008E99003	AG8088YG	SEM INS	2	3	72222	9869.73
2008E99003	AG8088YG	SEM INS	2	2	72222	8811.29
2008E99003	AG8088YG	SEM INS	2	1	72222	8641.69
2008E99003	AG8088YG	SEM INS	2	4	71111	8927.64
2008E99004	AG8088	COM INS	3	3	67500	10708.18
2008E99004	AG8088	COM INS	3	5	67500	11059.34
