## Experimento feito por Carlos Enrique da Trindade Barbosa
## (http://lattes.cnpq.br/8147259199552180) como parte do mestrado no
## Mestrado em Programa de Pós-graduação em Zootecnia com título da
## Dissertação "Uso de Ractopamina e Níveis de Energia para suínos
## machos castrados, imunocastrados e fêmeas em terminação", concluída
## em 2010. Com os dados foi publicado o seguinte artigo:
##
## Barbosa, Carlos Enrique da Trindade; Silva, Carolina Teixeira Costa;
## Cantarelli, Vinícius de Souza; Zangeronimo, Márcio Gilberto; Sousa,
## Raimundo Vicente de; Garbossa, Cesar Augusto Pospissil; Amaral,
## Níkolas de Oliveira; Zeviani, Walmes Marques;. Ractopamine in diets
## for finishing pigs of different sexual categories. Revista Brasileira
## de Zootecnia (Online), v. 41, p. 1173-1179, 2012.
##
## O experimento foi em delineamento inteiramente casualizado com
## arranjo experimental sendo um fatorial de 3 níveis de sexo do animal
## (F=femea, MC=macho castrado fisicamente, MI=macho castrado
## imunologicamente) e 4 níveis de energia na dieta (kcal). O peso
## inicial (pi, kg) e a idade inicial (id, dias) foram resgistrados
## antes do experimento para servir como covariáveis de blocagem. Foram
## usados 8 animais em cada casela. As variáveis medidas são descritas
## abaixo.
##
## Análise de carcaça:
##  rcarc: rendimento de carcaça (Carcass yield)
##  et: expessura de toucinho (Backfat thickness (mm))
##  aol: área de olho de lombo (Loin eye area (cm2))
##  plomb: Profundidade de lombo (Loin depth (mm))
##  rcarne: rendimento de carne (Meat yield (%))
##  ibonf: indice de bonificação (Bonus index (%))
##
## Qualidade da barriga/bacon:
##  pbarr: peso da barriga
##  rbarr: redimento de barriga (Belly yield (%))
##  etbar: espessura de toucinho da barriga (Backfat thickness of belly (mm))
##  fbarr: flexibilidade da barriga (Belly flexibility (cm))
##
## Peso e rendimento de cortes:
##  carre: peso de carré
##  rcarre: rendimento de carré (%)
##  file: peso de filézinho
##  rfile: rendimento de filézinho (%)
##  pernil: peso de pernil
##  rpernil: rendimento pernil (%)
##
## Desempenho aos 14 dias:
##  peso14: peso (kg)
##  crdm14: consumo de ração diário médio (kg/dia)
##  gpmd14: ganho de peso diário médio (kg/dia)
##  ca14: conversão alimentar
##  cenrg14:
##  cld14:
##  uenerg14:
##  ulis14:
##
## Desempenho aos 28 dias:
##  peso28: peso (kg)
##  crdm28: consumo de ração diário médio (kg/dia)
##  gpmd28: ganho de peso diário médio (kg/dia)
##  ca28: conversão alimentar
##  cenrg28:
##  cld28:
##  uenerg28:
##  ulis28:
##
## Econômicas:
##  receitabruta
##  custototal
##  receitaliquida
##
trat	sexo	ener	rept	pi	id	rcarc	et	aol	plomb	rcarne	ibonf	pbarr	rbarr	etbar	fbarr	carre	rcarre	file	rfile	pernil	rpernil	peso14	crdm14	gpmd14	ca14	peso28	crmd28	gpmd28	ca28	cenrg14	cld14	uenerg14	ulis14	cenrg28	cld28	uenerg28	ulis28	receitabruta	custototal	receitaliquida
4	MI	3150	8	90.7	142	80.57	24.1	32.37	69.6	57.888	110.928	3.560	7.19	14.8	18.0	10.400	21.01	0.324	0.65	14.088	27.677	105.300	3.459	1.043	3.317	122.000	3.805	1.118	3.404	10895.40	0.031	10.45	0.030	11986.43	0.034	10.72	0.031	370.94	329.01	41.92
5	MI	3300	1	97.6	134	80.19	24.5	34.04	64.2	58.049	107.71	3.542	6.771	NA	17.0	8.465	18.900	0.400	0.72	14.770	26.52	110.685	4.007	1.527	2.625	129.213	3.757	1.319	3.065	13231.99	0.036	8.67	0.024	12405.67	0.034	9.41	0.026	407.81	357.02	50.79
5	MI	3300	2	89	137	80.856	17.9	35.15	68.1	57.45	109.97	3.315	6.35	11.4	14.0	9.000	17.24	0.406	0.780	15.600	29.89	114.500	3.969	1.821	2.179	132.500	4.143	1.554	2.667	13106.11	0.036	7.20	0.020	13679.71	0.037	8.81	0.024	378.20	336.15	42.05
5	MI	3300	3	90.3	133	81.06	14.7	35.04	66.0	59.33	112.67	3.340	6.51	12.4	13.5	9.700	18.91	0.434	0.85	14.200	27.68	111.000	4.000	1.479	2.705	128.300	4.000	1.357	2.947	13208.00	0.036	8.93	0.024	13208.00	0.036	9.73	0.027	398.61	338.76	59.85
5	MI	3300	4	93.9	140	82.11	20.7	35.67	71.0	55.67	109.73	2.688	5.02	12.5	14.0	11.500	21.50	0.422	0.79	14.100	26.36	112.900	4.000	1.357	2.947	129.700	3.998	1.279	3.127	13208.00	0.036	9.73	0.027	13199.98	0.036	10.32	0.028	397.53	348.82	48.71
5	MI	3300	5	94	124	81.88	15.5	40.70	68.8	59.12	111.66	3.198	6.21	9.0	13.5	9.700	18.83	0.340	0.66	13.000	25.24	106.800	2.741	NA	2.998	123.600	2.843	1.057	2.689	9049.84	0.025	NA	NA	9387.11	0.026	8.88	0.024	384.40	326.79	57.60
5	MI	3300	6	96	147	80.38	17.167	37.74	70.8	62.88	115.30	2.810	5.67	11.963	12.5	10.300	20.77	0.378	0.76	13.900	28.02	105.200	3.380	1.314	2.673	125.400	3.097	1.050	2.950	11159.51	0.030	8.49	0.023	10227.71	0.028	9.74	0.027	395.38	340.65	54.73
5	MI	3300	7	87.3	136	83.04	15.6	35.52	73.5	59.38	113.10	3.826	7.44	12.2	17.0	9.700	18.87	0.484	0.94	15.200	29.57	108.207	2.791	1.493	1.869	126.800	3.857	1.411	2.734	9214.94	0.025	6.17	0.017	12736.29	0.035	9.03	0.025	405.13	317.87	87.26
5	MI	3300	8	90.2	142	81.88	18.1	41.37	79.6	58.29	112.00	3.816	7.37	14.1	18.0	10.300	19.88	0.438	0.85	14.100	27.22	107.900	3.224	1.264	2.550	128.600	3.609	1.371	2.631	10644.70	0.029	8.42	0.023	11915.27	0.032	8.69	0.024	401.21	327.69	73.52
6	MI	3450	1	96.7	134	81.46	15.2	36.22	72.0	59.32	115.21	3.950	6.91	9.1	17.375	9.610	16.80	0.415	0.73	16.000	27.97	109.593	2.993	1.251	2.984	128.075	3.618	1.286	2.883	10327.39	0.027	8.25	0.022	12486.94	0.033	9.71	0.025	442.46	347.55	94.92
6	MI	3450	2	90.4	137	81.11	16.438	32.00	63.0	58.172	111.309	3.895	7.58	17.8	18.5	9.115	17.73	0.395	0.77	13.635	26.53	115.000	4.082	1.757	2.323	127.600	4.116	1.329	3.098	14086.49	0.037	8.02	0.021	14204.81	0.037	10.69	0.028	391.90	345.46	46.44
6	MI	3450	3	89.5	133	81.09	17.4	32.00	63.5	57.33	109.99	3.030	5.99	12.0	21.0	10.400	20.55	0.382	0.75	13.100	25.89	106.000	3.286	1.179	2.788	125.300	3.643	1.279	2.849	11340.97	0.030	9.62	0.025	12571.50	0.033	9.83	0.026	380.13	330.51	49.63
6	MI	3450	4	94	140	78.88	16.2	30.00	70.0	58.87	110.56	3.179	6.160	12.2	17.5	9.600	19.71	0.391	0.757	14.000	28.75	106.100	2.752	0.864	3.184	124.500	3.474	1.089	3.189	9496.66	0.025	10.99	0.029	11987.30	0.031	11.00	0.029	369.32	336.21	33.11
6	MI	3450	5	94	144	79.33	14.5	33.37	64.0	59.27	112.72	3.174	6.16	10.975	16.5	10.000	19.42	0.412	0.80	14.200	27.57	113.500	3.685	1.393	2.645	131.600	3.857	1.343	2.872	12715.46	0.033	9.13	0.024	13311.00	0.035	9.91	0.026	400.34	349.11	51.23
6	MI	3450	6	93	147	81.68	17.3	33.67	65.925	57.15	108.03	2.926	6.17	12.4	16.5	9.553	16.46	0.358	0.76	13.400	28.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	350.60	NA	NA
6	MI	3450	7	89.8	136	81.45	12.1	35.56	63.5	60.93	113.67	2.838	5.61	9.8	20.0	10.300	20.36	0.352	0.70	14.000	27.67	109.120	2.492	1.380	1.806	125.100	3.286	1.261	2.606	8600.88	0.022	6.23	0.016	11339.00	0.030	8.99	0.023	394.03	320.06	73.97
6	MI	3450	8	89.2	142	80.16	14.9	37.89	72.0	59.64	114.22	3.252	6.00	10.5	16.0	9.600	17.71	0.550	1.01	15.500	28.60	110.100	2.704	1.493	1.812	135.100	3.376	1.639	2.060	9332.98	0.024	6.25	0.016	11651.56	0.030	7.11	0.019	420.79	321.35	99.44
