## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
outono	9	1	2	39.23	-9.24	13.96	23.90	14.62	2
outono	9	1	3	42.08	-9.56	17.34	28.02	16.54	2
outono	9	1	4	41.51	-9.13	16.94	27.23	15.52	3
outono	9	1	5	39.03	-8.30	13.41	22.99	13.83	2
outono	9	1	6	44.73	-9.51	16.76	29.30	22.08	3
outono	9	1	7	43.05	-10.86	25.60	38.85	13.83	2
outono	9	1	8	49.51	-8.95	15.99	27.48	23.73	2
outono	9	1	9	43.10	-8.95	15.28	27.06	20.07	2
outono	9	1	10	44.95	-7.35	13.82	26.87	14.86	2
outono	9	2	1	42.52	-8.97	15.83	27.04	21.95	3
outono	9	2	2	39.00	-7.71	12.09	21.84	14.37	2
outono	9	2	3	44.65	-8.98	15.45	28.22	13.13	3
outono	9	2	4	45.28	-10.68	20.46	32.57	16.36	3
outono	9	2	5	40.39	-10.07	16.13	26.41	26.39	2
outono	9	2	6	45.35	-7.29	12.57	26.44	30.81	2
outono	9	2	7	38.00	-9.74	14.58	23.86	10.81	2
outono	9	2	8	35.57	-8.71	12.22	20.44	22.14	2
outono	9	2	9	40.92	-9.37	15.76	26.17	24.62	2
outono	9	2	10	38.35	-6.43	10.29	19.75	16.41	2
outono	9	3	1	37.05	-8.61	12.78	21.56	11.03	2
outono	9	3	2	39.48	-8.74	13.42	23.46	20.72	3
outono	9	3	3	43.68	-8.34	14.39	26.66	12.69	2
outono	9	3	4	48.23	-5.49	18.47	31.62	9.34	2
outono	9	3	5	338.39	-7.42	11.65	21.05	20.00	2
outono	9	3	6	46.84	-10.52	18.59	32.26	16.45	2
outono	9	3	7	36.48	-7.94	11.71	20.20	19.00	3
outono	9	3	8	42.63	-10.52	19.50	30.25	18.46	2
outono	9	3	9	37.26	-8.36	14.30	22.63	18.76	3
outono	9	3	10	39.17	-6.41	9.80	20.00	19.41	3
outono	9	4	1	38.09	-8.16	13.23	22.25	23.06	2
outono	9	4	2	40.75	-8.61	13.90	24.50	14.76	2
outono	9	4	3	34.85	-8.12	11.47	19.26	25.01	2
outono	9	4	4	38.84	-8.81	13.94	23.46	19.41	2
outono	9	4	5	43.86	-10.59	19.49	30.99	10.92	3
outono	9	4	6	44.66	-10.60	20.50	32.18	43.36	2
outono	9	4	7	44.55	-10.83	19.77	31.70	11.01	2
outono	9	4	8	41.60	-8.04	12.57	24.00	13.55	2
