preco	area	nquart	nbanh	nvaga	nsuit	bairro
1400000	188	3	NA	2	3	Batel
830000	330	3	3	3	1	Batel
650000	107	3	2	2	1	Batel
306150	35.27	1	1	NA	NA	Batel
460700	67.06	1	1	NA	1	Batel
2599900	233	3	4	3	3	Batel
649000	107	3	1	NA	1	Batel
1100000	224	4	1	3	NA	Batel
510000	119	3	4	1	1	Batel
428000	53	1	1	1	NA	Batel
650000	133	3	NA	1	1	Batel
2999900	235	3	NA	3	3	Batel
690000	156	3	NA	2	NA	Batel
4999900	398	4	NA	4	4	Batel
215000	39.92	1	NA	1	NA	Batel
497000	56	1	NA	1	NA	Batel
2000000	228.6	4	NA	3	NA	Batel
725119	76	2	NA	1	NA	Batel
501849	66	2	NA	1	NA	Batel
311070	36	1	NA	NA	NA	Batel
277260	36	1	NA	NA	NA	Batel
729520	76	2	NA	1	NA	Batel
600790	66	2	NA	1	NA	Batel
480000	89	2	2	1	1	Batel
890000	181	4	2	2	1	Batel
640000	150.58	3	2	2	1	Batel
1750000	315.58	4	NA	3	4	Batel
1100000	185	3	3	2	1	Batel
725000	134	3	4	2	1	Batel
1280000	282	4	2	NA	2	Batel
900000	208.41	4	3	2	1	Batel
750000	190	4	4	2	2	Batel
488500	76	NA	NA	NA	NA	Batel
650000	110	3	NA	2	1	Batel
500000	98	3	3	1	1	Batel
600000	114	3	3	2	1	Batel
720000	158	4	3	2	1	Batel
358000	64	2	2	1	1	Batel
969900	137	2	2	2	2	Batel
1180000	272	3	NA	3	1	Batel
1153200	117	1	NA	2	1	Batel
1014600	137	2	NA	2	2	Batel
547675	65	1	NA	1	1	Batel
812600	82	2	NA	1	2	Batel
780987	82	2	NA	1	2	Batel
1115739	117	1	NA	2	1	Batel
315000	50	1	1	1	NA	Batel
983867	137	2	NA	2	2	Batel
395000	66	3	2	1	1	Batel
490000	130	2	2	1	1	Batel
1480000	208	3	4	4	3	Batel
850000	177	3	NA	3	2	Batel
540000	145	2	3	NA	2	Batel
375000	66	2	2	1	NA	Batel
