## Dados de experimento feito por Alexandre Martins Abdão dos Passos
## (http://lattes.cnpq.br/3663394160618071).
##
## O experimento combinou fonte de fertilizante orgânico (fonte, CF=cama
## de framgo, EC=esterco de curral e PC=pó de carvão) nas doses 0, 3, 6,
## e 9 ton/ha e tendo ainda o complemento de 0, 100, 200, 300 e 400
## kg/ha de dose de fertilizante químico (NPK). O delineamento foi de
## blocos casualizados com arranjo de tratamentos em parcela
## subsubdividida. Na parcela a fonte, na subparcela a dose e
## subsubparcela o npk. As respostas avaliadas foram tanto de solo
## quanto de planta, conforme legenda:
##
## AF: área foliar;
## N: nitrogênio;
## P: fósforo;
## K: potássio;
## Ca: cálcio;
## Mg: magnésio;
## S: enxofre;
## B: boro;
## Cu: cobre;
## Mn: manganês;
## Zn: zinco;
## Fe: ferro;
## ACA: nota visual para acamamento, ordinal em escala de 5 níveis (nenhum=1,2,3,4,5=muito);
## prod: produtividade;
## Apta: altura de plantas (cm);
## Ains: altura de inserção do primeiro legume (cm);
## Nleg: número médio de legumes por planta;
## Ngrao: número médio de grãos por legume;
## PCS: peso de 100 sementes;
## 
fonte	dorg	dnpk	bloco	AF	N	P	K	Ca	Mg	S	B	Cu	Mn	ZN	Fe	ACA	prod	Apta	Ains	Nleg	Ngrao	PCS
CF	9	200	2	97.7615	5.23	0.33	1.75	1.32	0.39	0.26	53.30	9.30	60.90	33.20	113.40	2	5072.04	81.2	22.8	34.80	2.15	16.96
CF	9	200	1	80.1926	4.80	0.27	1.32	1.35	0.37	0.27	44.10	6.40	128.00	27.90	112.30	3	4034.40	88.0	31.2	45.70	2.02	16.13
CF	9	200	3	53.5638	5.02	0.22	1.58	1.27	0.36	0.27	45.66	7.88	44.28	22.39	98.21	4	5640.68	90.2	22.6	39.50	2.14	16.54
CF	9	300	1	35.1327	4.48	0.26	1.23	1.38	0.44	0.26	52.70	5.80	98.60	34.60	104.40	3	4201.47	93.6	31.6	46.30	2.28	16.12
CF	9	300	3	126.4456	4.68	0.22	1.46	1.38	0.36	0.26	41.30	8.51	40.97	24.09	96.42	2	6442.97	86.8	23.6	52.50	2.21	16.78
CF	9	300	2	101.3279	4.87	0.34	1.72	1.38	0.38	0.26	51.30	9.40	66.50	42.70	114.70	3	4502.90	76.8	30.0	29.80	2.06	16.96
CF	9	400	1	68.5184	5.04	0.29	1.25	1.47	0.38	0.29	58.90	7.00	88.50	38.90	114.90	3	4582.99	88.0	26.6	40.40	2.17	15.58
CF	9	400	2	69.3840	5.28	0.32	1.65	1.37	0.41	0.28	49.10	8.10	63.70	35.40	120.10	3	4516.32	86.8	24.8	60.90	2.28	15.46
CF	9	400	3	98.9488	5.16	0.26	1.52	1.35	0.36	0.29	43.71	8.36	57.34	29.29	101.84	3	5812.20	92.6	27.8	54.80	2.19	17.25
EC	0	0	2	32.6616	4.18	0.17	1.51	1.08	0.32	0.21	43.10	7.30	35.00	21.10	105.50	1	1332.87	59.0	21.2	11.00	1.97	14.44
EC	0	0	3	76.7928	4.73	0.21	1.47	1.29	0.34	0.25	47.33	9.09	52.03	25.83	107.46	1	2654.91	53.6	21.8	33.80	2.81	14.61
EC	0	0	1	100.1117	5.28	0.18	1.25	1.70	0.41	0.28	54.60	7.20	39.20	25.50	101.90	1	1803.02	58.0	22.2	36.50	2.21	14.43
EC	0	100	3	65.3662	4.51	0.21	1.56	1.14	0.34	0.28	39.95	8.12	51.13	23.13	96.70	1	3847.83	70.4	22.6	49.50	2.14	16.74
EC	0	100	1	35.8824	4.69	0.21	1.35	1.61	0.37	0.31	56.70	8.60	46.40	27.30	100.80	1	2841.97	66.4	25.4	26.00	1.96	14.44
EC	0	100	2	31.9094	4.33	0.19	1.39	1.20	0.34	0.24	41.00	7.80	35.80	21.40	96.90	1	2227.50	68.2	28.6	27.00	2.07	14.10
EC	0	200	1	55.3365	4.46	0.18	1.28	1.43	0.33	0.28	48.90	7.90	44.40	25.80	96.50	1	2551.81	67.4	19.4	37.50	2.23	15.15
EC	0	200	2	125.3684	4.55	0.20	1.45	1.29	0.35	0.23	42.80	8.20	41.90	19.80	96.00	1	2870.69	68.2	22.0	30.10	2.93	15.43
EC	0	200	3	79.1023	4.51	0.22	1.57	1.27	0.36	0.26	45.62	7.86	44.66	22.35	98.30	1	3291.95	74.2	23.8	40.90	1.50	14.80
EC	0	300	1	173.9096	4.42	0.17	1.21	1.42	0.34	0.27	49.90	6.40	42.10	22.90	93.20	1	2490.14	59.2	21.8	30.70	2.10	15.21
EC	0	300	3	124.4883	4.43	0.22	1.46	1.37	0.36	0.27	41.25	8.45	41.42	24.00	95.99	2	2557.47	70.6	24.0	21.30	2.24	14.54
EC	0	300	2	115.5390	4.44	0.21	1.48	1.25	0.35	0.27	41.70	8.70	49.30	22.30	101.80	1	1184.37	76.2	25.0	37.80	1.45	14.62
EC	0	400	3	68.8958	4.40	0.26	1.52	1.35	0.36	0.25	43.75	8.37	57.43	29.16	102.03	2	2948.05	74.8	22.0	25.90	2.16	15.17
EC	0	400	1	62.4665	4.40	0.18	1.17	1.41	0.35	0.27	52.40	7.10	41.50	23.00	88.00	1	2540.43	69.8	24.2	51.10	2.20	14.28
EC	0	400	2	61.0784	4.40	0.19	1.43	1.06	0.34	0.23	41.50	7.60	39.60	19.90	87.00	1	2349.71	72.6	24.4	32.30	2.10	14.97
EC	3	0	1	36.2587	4.37	0.17	1.31	1.30	0.32	0.25	52.00	8.00	31.40	28.90	91.20	1	2637.16	66.0	24.6	25.70	2.22	14.46
EC	3	0	2	25.2072	4.19	0.17	1.52	0.93	0.32	0.24	35.30	7.20	35.00	26.60	92.20	1	1515.69	61.8	23.8	13.40	2.27	12.70
EC	3	0	3	48.2414	4.28	0.26	1.52	1.35	0.36	0.25	43.73	8.36	57.38	29.22	101.94	1	2428.66	62.6	21.0	37.40	1.85	14.91
EC	3	100	1	84.9291	4.66	0.18	1.15	1.54	0.34	0.28	46.90	7.60	34.30	20.00	86.30	1	3211.21	73.2	28.0	47.90	2.28	15.17
EC	3	100	2	83.1598	4.35	0.19	1.54	1.06	0.32	0.23	39.70	7.80	38.30	23.30	98.70	1	2486.32	74.6	21.0	31.10	2.03	14.27
EC	3	100	3	160.9132	4.51	0.22	1.46	1.37	0.36	0.26	41.28	8.48	41.19	24.05	96.20	1	2810.06	60.2	15.2	37.90	2.01	14.81
EC	3	200	3	138.8945	4.41	0.22	1.57	1.27	0.36	0.26	45.64	7.87	44.47	22.37	98.25	2	3206.02	74.8	25.8	22.80	2.13	14.50
EC	3	200	2	101.2466	4.35	0.18	1.28	1.13	0.34	0.23	38.40	7.80	37.30	19.10	93.20	1	2016.64	72.8	27.0	17.60	2.19	13.76
EC	3	200	1	75.0994	4.46	0.18	1.18	1.50	0.36	0.28	43.70	7.30	35.40	19.50	88.10	1	3031.38	71.2	21.2	23.00	2.19	14.66
EC	3	300	3	92.0148	4.42	0.21	1.56	1.14	0.34	0.27	39.87	8.14	50.99	23.13	96.85	1	3694.71	72.0	27.2	46.30	2.18	15.87
EC	3	300	2	86.3168	4.50	0.19	1.28	1.31	0.35	0.26	43.00	8.60	45.90	23.10	94.30	1	2389.89	72.2	25.8	40.10	1.92	13.94
EC	3	300	1	115.2687	4.34	0.18	1.14	1.54	0.33	0.27	55.00	6.70	34.50	23.10	89.50	1	3169.12	76.0	28.6	43.10	2.24	15.86
EC	3	400	3	74.0365	4.50	0.21	1.47	1.29	0.34	0.24	47.33	9.15	51.84	25.78	107.67	2	4231.95	76.4	19.4	52.60	2.00	15.40
EC	3	400	1	54.4207	4.66	0.16	0.91	3.02	0.54	0.25	54.40	5.50	34.00	17.80	82.50	1	2661.85	72.0	26.8	34.50	2.11	15.31
