id;tam;quar;banh;valor
aviso-2927107994;64;1;2;338900
aviso-2927108033;64;1;2;338900
aviso-2927108246;64;1;2;338900
aviso-2927108349;64;1;2;338900
aviso-2927108374;64;1;2;338900
aviso-2927108421;64;1;2;338900
aviso-2927111169;182;3;3;1117000
aviso-2927111170;113;3;3;781000
aviso-2927111182;143;3;3;876000
aviso-2927111184;113;3;3;771000
aviso-2927111205;143;3;3;881000
aviso-2927112038;70;2;2;315000
aviso-2927351740;66;2;1;407000
aviso-2927353201;71;3;1;220000
aviso-2927357723;97;3;1;480000
aviso-2927349007;78;2;2;411200
aviso-2927349151;0;1;1;190000
aviso-2927365788;180;3;4;1061000
aviso-2927331229;90;3;2;525000
aviso-2926475989;71;2;2;428000
aviso-2926365358;42;2;1;210000
aviso-2926365361;30;1;1;2e+05
aviso-2926412133;135;3;3;850000
aviso-2926416451;53;2;2;279000
aviso-2926440729;54;2;1;265000
aviso-2926440848;108;3;3;642000
aviso-2926544993;32;1;1;190400
aviso-2926552182;180;3;4;1077000
aviso-2926553361;55;1;1;163000
aviso-2926583912;113;3;3;587000
aviso-2926584155;113;2;2;771000
aviso-2926957361;108;3;3;639000
aviso-2926962900;113;3;3;587000
aviso-2926990492;76;3;1;343200
aviso-2926990685;32;1;1;192100
aviso-2926991126;73;2;2;315000
aviso-2926992086;73;2;2;315000
aviso-2926992097;73;2;2;340000
aviso-2926992508;70;2;2;315000
aviso-2926992534;70;2;2;315000
aviso-2926996139;89;3;3;4e+05
aviso-2926965076;129;2;3;590000
aviso-2926965291;81;3;2;538830
aviso-2926966260;143;4;4;800730
aviso-2926969550;170;3;2;1050000
aviso-2926969551;26;1;1;245000
aviso-2926918808;80;3;2;3e+05
aviso-2926923625;60;2;1;449218
aviso-2926932857;64;1;2;339000
aviso-2926935011;70;2;2;330000
aviso-2926749025;180;3;4;1077000
aviso-2927124561;31;1;1;177650
aviso-2927137343;39;1;1;179000
aviso-2927138557;44;1;1;190000
aviso-2927139505;70;2;2;330000
aviso-2927153252;180;3;4;1061000
aviso-2927156228;113;3;3;587000
aviso-2927156580;182;4;5;990000
aviso-2927156597;113;3;4;587000
aviso-2927161973;143;3;4;788400
aviso-2927088873;76;3;1;343200
aviso-2927089085;31;1;1;250000
aviso-2927091085;80;3;2;570000
aviso-2927029713;182;4;4;990000
aviso-2927029714;113;3;3;587000
aviso-2927029715;143;3;4;788000
aviso-2927034858;31;1;1;250000
aviso-2927038463;113;3;3;693000
aviso-2927039100;143;3;5;726705
aviso-2926820628;35;1;1;230000
aviso-2926825570;34;1;1;249000
aviso-2926830496;143;4;4;740000
aviso-2926830501;113;3;3;632700
aviso-2926830523;182;4;5;1023300
aviso-2926834012;64;1;2;339000
aviso-2926809384;91;3;3;4e+05
aviso-2926813377;77;3;2;498000
aviso-2926814280;77;3;2;5e+05
aviso-2926722327;70;2;2;315000
aviso-2926722512;170;3;3;995000
aviso-2926725683;86;3;2;565000
aviso-2926726233;108;3;3;658000
aviso-2926729313;87;3;3;370000
aviso-2926791334;61;2;1;240000
aviso-2926449214;75;2;2;280000
aviso-2927547246;69;2;2;387000
aviso-2927547318;69;2;2;387000
aviso-2927648379;64;2;2;363000
aviso-2927648381;64;2;2;363000
aviso-2927648525;69;3;2;330000
aviso-2927649761;64;2;2;363000
aviso-2927666697;55;2;1;315000
aviso-2927666751;34;1;1;185000
aviso-2927666807;28;1;1;160000
aviso-2927667098;30;1;1;195000
aviso-2927667338;64;2;1;389600
aviso-2927667469;64;2;1;389600
aviso-2927679521;75;3;1;5e+05
aviso-2927634909;72;3;1;225000
aviso-2927667763;32;1;1;250000
aviso-2927667768;64;2;2;363000
aviso-2927667769;64;2;2;363000
aviso-2927565141;32;1;1;192100
aviso-2927565155;182;4;1;1117000
aviso-2927565156;182;4;1;1137000
aviso-2927572408;182;4;3;975000
aviso-2927482197;146;3;5;788000
aviso-2927485473;34;1;1;239900
aviso-2927625580;300;3;3;1250000
aviso-2927589583;78;2;2;411200
aviso-2927589649;78;2;2;411200
aviso-2927589681;78;2;2;411200
aviso-2927589731;89;3;2;480800
aviso-2927589735;89;3;2;480800
aviso-2927589755;89;3;2;480800
aviso-2927591669;76;3;2;326000
aviso-2927626463;64;3;1;350000
aviso-2927626858;99;3;2;285200
aviso-2927183778;125;3;3;460000
aviso-2927184130;73;2;2;315000
aviso-2927214449;109;2;2;275000
aviso-2927216178;143;3;5;888000
aviso-2927197544;98;3;3;469000
aviso-2927150398;113;3;3;587000
aviso-2927185260;143;4;4;788400
aviso-2927185278;182;4;5;903900
aviso-2927185364;113;3;3;607000
aviso-2927185367;143;3;4;788000
aviso-2927190713;113;3;3;587000
aviso-2927190811;182;4;5;990000
aviso-2927190865;113;3;3;587000
aviso-2927192528;39;1;1;150000
aviso-2927195110;143;4;5;740000
aviso-2927231020;64;1;2;339000
aviso-2927261997;65;2;2;270000
aviso-2927263036;218;3;3;632700
aviso-2927264639;34;1;1;253000
aviso-2927298448;143;3;4;799200
