## Experimento conduzido por Fabio Raphael Pascoti Bruhn
## (http://lattes.cnpq.br/6027763770110766), acadêmico de Mestrado em
## Ciências Veterinárias  da UFLA (2010-2012).
##
## Os dados são da avaliação do ganho de peso de vacas da raça holandesa
## holandesa dividas em grupos para cada um dos 5 tratamentos de endo e
## exo parasitas. O experimento foi repetido 3 vezes, sendo 2 nas
## estações de seca e 1 uma na estação das chuvas. As vacas avaliadas
## não são as mesmas quando muda a estação. Elas pesadas em intervalos
## aproximados de 30 dias após o início da estação.  Os tratamentos
## foram: ivermectina 1% (genérico) (T1); sulfóxido de albendazol 10%
## (T2); abamectina 1% (T3); doramectina 1% (T4) e ivermectina 1%
## (referência) (T5). Os diferentes tratamentos foram escolhidos por
## serem comumente aplicados por pecuaristas na região. Quanto às
## ivermectinas (uma "genérica" e outra "referência"), optou-se por
## duas, por possuírem preços de mercado completamente diferentes
## (R$0,062 e R$0,292/mL, respectivamente). Aplicou-se 1 mL do produto
## para cada 50 kg de peso vivo, para todos os tratamentos, exceto no
## tratamento 2, que foi 1 mL para cada 40 kg de peso vivo. Ocorreram
## duas aplicações dos medicamentos durante o período experimental,
## sendo uma no primeiro dia e a outra 90 dias após. Dentro de cada
## estação trata-se de um experimento inteiramente casualizado com
## unidades experimentais (vacas) avaliadas ao longo do tempo
## (longitudinal/medidas repetidas).
##
vaca	peso	helmintico	mes	dias	estacao
677	259.6	abamectina 1%	3	145	chuva
678	313	abamectina 1%	3	145	chuva
689	269.4	abamectina 1%	3	145	chuva
694	303.2	abamectina 1%	3	145	chuva
696	243	abamectina 1%	3	145	chuva
663	377.6	abamectina 1%	5	198	chuva
674	286.2	abamectina 1%	5	198	chuva
677	313	abamectina 1%	5	198	chuva
678	348	abamectina 1%	5	198	chuva
689	296	abamectina 1%	5	198	chuva
694	331.4	abamectina 1%	5	198	chuva
696	239.2	abamectina 1%	5	198	chuva
663	379	abamectina 1%	6	227	chuva
674	291	abamectina 1%	6	227	chuva
677	332.6	abamectina 1%	6	227	chuva
678	341.6	abamectina 1%	6	227	chuva
689	304.4	abamectina 1%	6	227	chuva
694	338.2	abamectina 1%	6	227	chuva
696	240	abamectina 1%	6	227	chuva
655	298	doramectina 1%	10	0	chuva
664	270	doramectina 1%	10	0	chuva
668	245	doramectina 1%	10	0	chuva
676	285.2	doramectina 1%	10	0	chuva
686	187	doramectina 1%	10	0	chuva
691	202	doramectina 1%	10	0	chuva
684	206.4	doramectina 1%	10	0	chuva
655	321	doramectina 1%	11	26	chuva
664	290	doramectina 1%	11	26	chuva
668	250	doramectina 1%	11	26	chuva
676	262.2	doramectina 1%	11	26	chuva
686	207	doramectina 1%	11	26	chuva
691	204	doramectina 1%	11	26	chuva
684	225	doramectina 1%	11	26	chuva
655	345.6	doramectina 1%	12	53	chuva
664	306	doramectina 1%	12	53	chuva
668	269	doramectina 1%	12	53	chuva
676	258.4	doramectina 1%	12	53	chuva
686	213	doramectina 1%	12	53	chuva
691	205.2	doramectina 1%	12	53	chuva
684	242	doramectina 1%	12	53	chuva
655	340	doramectina 1%	1	92	chuva
664	311	doramectina 1%	1	92	chuva
668	270.6	doramectina 1%	1	92	chuva
676	288	doramectina 1%	1	92	chuva
686	230	doramectina 1%	1	92	chuva
691	227.6	doramectina 1%	1	92	chuva
684	255.4	doramectina 1%	1	92	chuva
655	340	doramectina 1%	2	126	chuva
664	327.1	doramectina 1%	2	126	chuva
668	288	doramectina 1%	2	126	chuva
676	310	doramectina 1%	2	126	chuva
686	288	doramectina 1%	2	126	chuva
691	237	doramectina 1%	2	126	chuva
684	300.6	doramectina 1%	2	126	chuva
655	357	doramectina 1%	3	145	chuva
664	337.2	doramectina 1%	3	145	chuva
668	302.6	doramectina 1%	3	145	chuva
676	327.2	doramectina 1%	3	145	chuva
686	246	doramectina 1%	3	145	chuva
691	242.6	doramectina 1%	3	145	chuva
684	302	doramectina 1%	3	145	chuva
655	402	doramectina 1%	5	198	chuva
664	381	doramectina 1%	5	198	chuva
668	322	doramectina 1%	5	198	chuva
676	358.4	doramectina 1%	5	198	chuva
686	274.4	doramectina 1%	5	198	chuva
691	273.4	doramectina 1%	5	198	chuva
684	355	doramectina 1%	5	198	chuva
655	391	doramectina 1%	6	227	chuva
664	383	doramectina 1%	6	227	chuva
668	337	doramectina 1%	6	227	chuva
676	374	doramectina 1%	6	227	chuva
686	286	doramectina 1%	6	227	chuva
691	283.2	doramectina 1%	6	227	chuva
684	345	doramectina 1%	6	227	chuva
658	325.2	ivermectina 1%	10	0	chuva
659	268	ivermectina 1%	10	0	chuva
670	250.8	ivermectina 1%	10	0	chuva
673	222.6	ivermectina 1%	10	0	chuva
679	240.4	ivermectina 1%	10	0	chuva
690	241	ivermectina 1%	10	0	chuva
693	222.6	ivermectina 1%	10	0	chuva
658	324	ivermectina 1%	11	26	chuva
659	272.2	ivermectina 1%	11	26	chuva
670	276	ivermectina 1%	11	26	chuva
673	220.8	ivermectina 1%	11	26	chuva
679	242.6	ivermectina 1%	11	26	chuva
690	234.6	ivermectina 1%	11	26	chuva
693	228.2	ivermectina 1%	11	26	chuva
658	333.4	ivermectina 1%	12	53	chuva
659	282.6	ivermectina 1%	12	53	chuva
670	264.1	ivermectina 1%	12	53	chuva
673	229	ivermectina 1%	12	53	chuva
679	249.6	ivermectina 1%	12	53	chuva
690	245.1	ivermectina 1%	12	53	chuva
693	235	ivermectina 1%	12	53	chuva
658	336.2	ivermectina 1%	1	92	chuva
659	283	ivermectina 1%	1	92	chuva
670	276	ivermectina 1%	1	92	chuva
673	243	ivermectina 1%	1	92	chuva
679	277	ivermectina 1%	1	92	chuva
690	261.4	ivermectina 1%	1	92	chuva
693	250	ivermectina 1%	1	92	chuva
658	338	ivermectina 1%	2	126	chuva
659	302	ivermectina 1%	2	126	chuva
670	268	ivermectina 1%	2	126	chuva
673	229	ivermectina 1%	2	126	chuva
679	304.2	ivermectina 1%	2	126	chuva
690	276	ivermectina 1%	2	126	chuva
693	263	ivermectina 1%	2	126	chuva
658	361	ivermectina 1%	3	145	chuva
659	330.2	ivermectina 1%	3	145	chuva
670	277.6	ivermectina 1%	3	145	chuva
673	240	ivermectina 1%	3	145	chuva
679	318.8	ivermectina 1%	3	145	chuva
690	308.6	ivermectina 1%	3	145	chuva
693	283	ivermectina 1%	3	145	chuva
658	413.2	ivermectina 1%	5	198	chuva
659	359.6	ivermectina 1%	5	198	chuva
670	316	ivermectina 1%	5	198	chuva
673	242	ivermectina 1%	5	198	chuva
679	348.4	ivermectina 1%	5	198	chuva
690	319.2	ivermectina 1%	5	198	chuva
693	305.2	ivermectina 1%	5	198	chuva
658	429	ivermectina 1%	6	227	chuva
659	377	ivermectina 1%	6	227	chuva
670	320	ivermectina 1%	6	227	chuva
673	255.4	ivermectina 1%	6	227	chuva
679	330.2	ivermectina 1%	6	227	chuva
690	329	ivermectina 1%	6	227	chuva
693	330	ivermectina 1%	6	227	chuva
744	241.6	ivermectina genérico 1%	4	0	seca2
752	225.8	ivermectina genérico 1%	4	0	seca2
754	253.6	ivermectina genérico 1%	4	0	seca2
755	227	ivermectina genérico 1%	4	0	seca2
757	226.4	ivermectina genérico 1%	4	0	seca2
760	188.4	ivermectina genérico 1%	4	0	seca2
767	185.6	ivermectina genérico 1%	4	0	seca2
772	214.2	ivermectina genérico 1%	4	0	seca2
778	181.2	ivermectina genérico 1%	4	0	seca2
744	245	ivermectina genérico 1%	5	39	seca2
752	246.6	ivermectina genérico 1%	5	39	seca2
754	267	ivermectina genérico 1%	5	39	seca2
755	250.8	ivermectina genérico 1%	5	39	seca2
760	222.6	ivermectina genérico 1%	5	39	seca2
767	209.4	ivermectina genérico 1%	5	39	seca2
772	222.2	ivermectina genérico 1%	5	39	seca2
778	220.2	ivermectina genérico 1%	5	39	seca2
744	262	ivermectina genérico 1%	6	68	seca2
752	261	ivermectina genérico 1%	6	68	seca2
754	277	ivermectina genérico 1%	6	68	seca2
